,AbilityResourceMax,AbilityResourceRegenPerSecond,AirDashDistanceInMeters,AirDashDuration,AirDashSpeed,BaseHealthRegen,BaseWeaponDamageIncrease,BoundAbilities,CritDamageBonusPercent,CritDamageReceivedPercent,CrouchSpeed,GroundDashDistanceInMeters,GroundDashDuration,GroundDashSpeed,HeavyMeleeDamage,HeroBulletLifestealEffectiveness,HeroSpiritLifestealEffectiveness,InDevelopment,InHeroLabs,IsDisabled,IsRecommended,IsSelectable,LevelScaling,LightMeleeDamage,Lore,MaxHealth,MaxMoveSpeed,MoveAcceleration,Name,Playstyle,ProcBuildUpRateScale,ReloadSpeed,Role,SpiritScaling,SprintSpeed,Stamina,StaminaCooldown,StaminaRegenPerSecond,TechDuration,TechRange,Type,Weapon,WeaponPowerScale,MeleeResist,TechResist,BuildUpRate,BulletLifesteal
hero_airheart,0,0,8.0,0.47000000000000003,17.0,2.0,0,"{'1': {'Name': 'Rocket Launcher', 'Key': 'rutger_rocket'}, '4': {'Name': 'Hyper Beam', 'Key': 'citadel_ability_bebop_laser_beam'}}",0.0,0.0,4.75,10.0,0.68,14.7,116.0,1.0,1.0,True,False,True,False,True,"{'BulletDamage': 0.2, 'MaxHealth': 39, 'PowerIncreases': 1, 'TechPower': 1.1, 'LightMeleeDamage': 1.58, 'HeavyMeleeDamage': 3.6656}",50.0,hero_airheart_lore,650.0,6.8,4,,hero_airheart_playstyle,1,0,hero_airheart_role,{},1.6,3.0,4.5000045000045,0.222222,0,0,,"{'WeaponTypes': ['Attribute_EWeaponAttribute_BurstFire', 'Attribute_EWeaponAttribute_MediumRange']}",1,,,,
hero_astro,0,0,8.0,0.43,18.6,1.0,0,"{'1': {'Name': 'Powder Keg', 'Key': 'ability_explosive_barrel'}, '2': {'Name': 'Bounce Pad', 'Key': 'ability_bounce_pad'}, '3': {'Name': 'Crackshot', 'Key': 'ability_crackshot'}, '4': {'Name': 'Spirit Lasso', 'Key': 'ability_gravity_lasso'}}",0.0,0.0,4.75,10.0,0.62,16.1,116.0,1.0,1.0,False,False,False,False,True,"{'BulletDamage': 1.1440000000000001, 'MaxHealth': 41, 'PowerIncreases': 1, 'TechPower': 1.1, 'LightMeleeDamage': 1.58, 'HeavyMeleeDamage': 3.6656, 'DPS': 2.4212, 'SustainedDPS': 1.5304}",50.0,hero_astro_lore,750.0,8.2,4,Holliday,hero_astro_playstyle,1,0,hero_astro_role,{},1.6,2.0,4.5000045000045,0.222222,0,0,Marksman,"{'BulletSpeed': 635.0, 'BulletDamage': 18.8, 'RoundsPerSecond': 2.1164, 'ClipSize': 10, 'ReloadTime': 2.75, 'ReloadMovespeed': 1.0, 'ReloadDelay': 0, 'ReloadSingle': False, 'FalloffStartRange': 19.99, 'FalloffEndRange': 57.51, 'FalloffStartScale': 1.0, 'FalloffEndScale': 0.1, 'FalloffBias': 0.5, 'BulletGravityScale': 0.8, 'BulletsPerShot': 1, 'BulletsPerBurst': 1, 'BurstInterShotInterval': 0, 'ShootMoveSpeed': 0.75, 'HitOnceAcrossAllBullets': False, 'CanCrit': True, 'AmmoConsumedPerShot': 1, 'DPS': 39.788, 'SustainedDPS': 25.15, 'NameKey': 'citadel_weapon_hero_astro_set', 'DescKey': 'citadel_weapon_hero_astro_set_desc', 'WeaponTypes': ['Attribute_EWeaponAttribute_MediumRange', 'Attribute_EWeaponAttribute_HeavyHitter']}",1,,,,
hero_atlas,0,0,8.0,0.49,16.3,1.5,0,"{'1': {'Name': 'Siphon Life', 'Key': 'citadel_ability_bull_heal'}, '2': {'Name': 'Shoulder Charge', 'Key': 'citadel_ability_bull_charge'}, '3': {'Name': 'Infernal Resilience', 'Key': 'citadel_ability_passive_beefy'}, '4': {'Name': 'Seismic Impact', 'Key': 'citadel_ability_bull_leap'}}",0.0,0.0,4.75,10.0,0.7000000000000001,14.3,116.0,1.0,1.0,False,False,False,True,True,"{'BulletDamage': 0.13, 'MaxHealth': 49, 'PowerIncreases': 1, 'TechPower': 1.1, 'LightMeleeDamage': 1.58, 'HeavyMeleeDamage': 3.6656, 'DPS': 1.8571, 'SustainedDPS': 1.1029}",50.0,hero_atlas_lore,770.0,6.4,4,Abrams,hero_atlas_playstyle,1,0,hero_atlas_role,{},1.6,3.0,4.5000045000045,0.222222,0,0,Brawler,"{'BulletSpeed': 609.6, 'BulletDamage': 3.86, 'RoundsPerSecond': 1.5873, 'ClipSize': 9, 'ReloadTime': 0.35250000000000004, 'ReloadMovespeed': 1.0, 'ReloadDelay': 0.705, 'ReloadSingle': True, 'FalloffStartRange': 17.0, 'FalloffEndRange': 40.0, 'FalloffStartScale': 1.0, 'FalloffEndScale': 0.1, 'FalloffBias': 0.5, 'BulletGravityScale': 0.8, 'BulletsPerShot': 9, 'BulletsPerBurst': 1, 'BurstInterShotInterval': 0, 'ShootMoveSpeed': 0.75, 'HitOnceAcrossAllBullets': False, 'CanCrit': True, 'AmmoConsumedPerShot': 1, 'DPS': 55.143, 'SustainedDPS': 32.748, 'NameKey': 'citadel_weapon_hero_atlas_set', 'DescKey': 'citadel_weapon_hero_atlas_set_desc', 'WeaponTypes': ['Attribute_EWeaponAttribute_Spreadshot', 'Attribute_EWeaponAttribute_CloseRange']}",1,,,,
hero_bebop,0,0,8.0,0.49,16.3,1.5,0,"{'1': {'Name': 'Exploding Uppercut', 'Key': 'citadel_ability_uppercut'}, '2': {'Name': 'Sticky Bomb', 'Key': 'citadel_ability_sticky_bomb'}, '3': {'Name': 'Grapple Arm', 'Key': 'citadel_ability_hook'}, '4': {'Name': 'Hyper Beam', 'Key': 'citadel_ability_bebop_laser_beam'}}",0.0,0.0,4.75,10.0,0.7000000000000001,14.3,116.0,1.0,1.0,False,False,False,False,True,"{'BulletDamage': 0.154, 'MaxHealth': 52, 'BonusAttackRange': 59, 'PowerIncreases': 1, 'BulletResist': 0.30000000000000004, 'TechPower': 1.1, 'LightMeleeDamage': 1.58, 'HeavyMeleeDamage': 2.9092000000000002, 'DPS': 1.8334000000000001, 'SustainedDPS': 1.2876}",63.0,hero_bebop_lore,850.0,6.45,4,Bebop,hero_bebop_playstyle,1,0,hero_bebop_role,{},4.0,3.0,5.5000055000055,0.18181799999999998,0,0,Brawler,"{'BulletSpeed': 508.0, 'BulletDamage': 4.98, 'RoundsPerSecond': 11.905, 'ClipSize': 66, 'ReloadTime': 2.35, 'ReloadMovespeed': 1.0, 'ReloadDelay': 0, 'ReloadSingle': False, 'FalloffStartRange': 19.99, 'FalloffEndRange': 50.8, 'FalloffStartScale': 1.0, 'FalloffEndScale': 0.1, 'FalloffBias': 0.5, 'BulletGravityScale': 0.8, 'BulletsPerShot': 1, 'BulletsPerBurst': 1, 'BurstInterShotInterval': 0, 'ShootMoveSpeed': 0.75, 'HitOnceAcrossAllBullets': False, 'CanCrit': True, 'AmmoConsumedPerShot': 1, 'DPS': 59.287, 'SustainedDPS': 41.637, 'NameKey': 'citadel_weapon_hero_bebop_set', 'DescKey': 'citadel_weapon_hero_bebop_set_desc', 'WeaponTypes': ['Attribute_EWeaponAttribute_BeamWeapon', 'Attribute_EWeaponAttribute_MediumRange']}",1,,,,
hero_boho,0,0,8.0,0.47000000000000003,17.0,2.0,0,"{'1': {'Name': 'Skipshot', 'Key': 'ability_boho_bouncyprojectile'}, '2': {'Name': 'Swish', 'Key': 'ability_boho_doublehit'}, '3': {'Name': 'Intertwine', 'Key': 'ability_boho_damageshare'}, '4': {'Name': None, 'Key': 'ability_boho_channeltether'}}",0.0,0.0,4.75,10.0,0.68,14.7,116.0,1.0,1.0,True,False,True,False,True,"{'BulletDamage': 0.495, 'MaxHealth': 60.0, 'PowerIncreases': 1, 'TechPower': 1.1, 'LightMeleeDamage': 1.58, 'HeavyMeleeDamage': 3.6656, 'DPS': 4.95, 'SustainedDPS': 2.7}",50.0,hero_boho_lore,675.0,8.0,4,Boho,hero_boho_playstyle,1,0,hero_boho_role,{},1.6,3.0,4.5000045000045,0.222222,0,0,,"{'BulletSpeed': 139.7, 'BulletDamage': 5.5, 'RoundsPerSecond': 10.0, 'ClipSize': 30, 'ReloadTime': 2.5, 'ReloadMovespeed': 1.0, 'ReloadDelay': 0, 'ReloadSingle': False, 'FalloffStartRange': 19.99, 'FalloffEndRange': 57.51, 'FalloffStartScale': 1.0, 'FalloffEndScale': 0.1, 'FalloffBias': 0.5, 'BulletGravityScale': 0.01, 'BulletsPerShot': 1, 'BulletsPerBurst': 1, 'BurstInterShotInterval': 0, 'ShootMoveSpeed': 0.75, 'HitOnceAcrossAllBullets': False, 'CanCrit': True, 'AmmoConsumedPerShot': 1, 'DPS': 55.0, 'SustainedDPS': 30.0, 'NameKey': 'citadel_weapon_hero_boho_set', 'DescKey': 'citadel_weapon_hero_boho_set_desc', 'WeaponTypes': ['Attribute_EWeaponAttribute_RapidFire', 'Attribute_EWeaponAttribute_LongRange']}",1,,,,
hero_bomber,0,0,8.0,0.47000000000000003,17.0,2.0,0,"{'1': {'Name': None, 'Key': 'ability_charged_bomb'}, '2': {'Name': None, 'Key': 'ability_bomber_ability02'}, '3': {'Name': None, 'Key': 'ability_bomber_ability03'}, '4': {'Name': None, 'Key': 'ability_bomber_ult'}}",0.0,0.0,4.75,10.0,0.68,14.7,116.0,1.0,1.0,True,False,True,False,False,"{'BulletDamage': 0.077, 'MaxHealth': 61, 'PowerIncreases': 1, 'TechPower': 1.1, 'LightMeleeDamage': 1.58, 'HeavyMeleeDamage': 3.6656, 'DPS': 0.85555, 'SustainedDPS': 0.44423}",50.0,hero_bomber_lore,750.0,7.2,4,Bomber,hero_bomber_playstyle,1,0,hero_bomber_role,{},1.6,3.0,4.5000045000045,0.222222,0,0,,"{'BulletSpeed': 571.5, 'BulletDamage': 5.5, 'RoundsPerSecond': 11.111, 'ClipSize': 30, 'ReloadTime': 2.5, 'ReloadMovespeed': 1.0, 'ReloadDelay': 0, 'ReloadSingle': False, 'FalloffStartRange': 19.99, 'FalloffEndRange': 57.51, 'FalloffStartScale': 1.0, 'FalloffEndScale': 0.1, 'FalloffBias': 0.5, 'BulletGravityScale': 0, 'BulletsPerShot': 1, 'BulletsPerBurst': 1, 'BurstInterShotInterval': 0, 'ShootMoveSpeed': 0.75, 'HitOnceAcrossAllBullets': False, 'CanCrit': True, 'AmmoConsumedPerShot': 1, 'DPS': 61.111, 'SustainedDPS': 31.731, 'NameKey': 'citadel_weapon_hero_bomber_set', 'DescKey': 'citadel_weapon_hero_bomber_set_desc'}",1,,,,
hero_bookworm,0,0,8.0,0.47000000000000003,17.0,2.0,0,"{'1': {'Name': 'Conjure Dragon', 'Key': 'ability_bookworm_dragonfire'}, '2': {'Name': 'Defend and Fight!', 'Key': 'ability_bookworm_knightbarrier'}, '3': {'Name': 'Captivating Read', 'Key': 'ability_bookworm_aoemagic'}, '4': {'Name': 'Rallying Charge', 'Key': 'ability_bookworm_knightcharge'}}",0.0,0.0,4.75,10.0,0.68,14.7,120.0,1.0,1.0,False,False,False,False,True,"{'BulletDamage': 0.52, 'MaxHealth': 29, 'PowerIncreases': 1, 'TechPower': 1.1, 'LightMeleeDamage': 1.2, 'HeavyMeleeDamage': 3.4286, 'DPS': 0.8666800000000001, 'SustainedDPS': 0.6679}",42.0,hero_bookworm_lore,650.0,6.9,4,Paige,hero_bookworm_playstyle,1,0,hero_bookworm_role,{'HeavyMeleeDamage': 0.30000000000000004},3.5,2.0,4.5000045000045,0.222222,0,0,Mystic,"{'BulletSpeed': 43.43, 'BulletDamage': 35.0, 'RoundsPerSecond': 1.6667, 'ClipSize': 14, 'ReloadTime': 2.5, 'ReloadMovespeed': 1.0, 'ReloadDelay': 0, 'ReloadSingle': False, 'FalloffStartRange': 19.99, 'FalloffEndRange': 57.51, 'FalloffStartScale': 1.0, 'FalloffEndScale': 0.1, 'FalloffBias': 0.5, 'BulletGravityScale': 0, 'BulletsPerShot': 1, 'BulletsPerBurst': 1, 'BurstInterShotInterval': 0.1, 'ShootMoveSpeed': 0.75, 'HitOnceAcrossAllBullets': False, 'CanCrit': False, 'AmmoConsumedPerShot': 1, 'ExplosionRadius': 0.635, 'ExplosionDamageScaleAtMaxRadius': 1.0, 'DPS': 58.334, 'SustainedDPS': 44.955, 'NameKey': 'citadel_weapon_hero_bookworm_set', 'DescKey': 'citadel_weapon_hero_bookworm_set_desc', 'WeaponTypes': ['Attribute_EWeaponAttribute_RapidFire', 'Attribute_EWeaponAttribute_LongRange']}",1,,,,
hero_cadence,0,0,8.0,0.47000000000000003,17.0,2.0,0,"{'1': {'Name': 'Anthem', 'Key': 'cadence_ability_anthem'}, '2': {'Name': 'Silence Contraptions', 'Key': 'cadence_ability_silencecontraptions'}, '3': {'Name': 'Lullaby', 'Key': 'cadence_ability_lullaby'}, '4': {'Name': 'Crescendo', 'Key': 'cadence_ability_crescendo'}}",0.0,0.0,4.75,10.0,0.68,14.7,116.0,1.0,1.0,True,False,True,False,False,"{'MaxHealth': 61, 'PowerIncreases': 1, 'TechPower': 1.1, 'LightMeleeDamage': 1.58, 'HeavyMeleeDamage': 3.6656}",50.0,hero_cadence_lore,800.0,7.2,4,Cadence,hero_cadence_playstyle,1,0,hero_cadence_role,{},1.6,3.0,4.5000045000045,0.222222,0,0,,"{'BulletSpeed': 635.0, 'BulletDamage': 4.9, 'RoundsPerSecond': 5.7143, 'ClipSize': 24, 'ReloadTime': 2.0, 'ReloadMovespeed': 1.0, 'ReloadDelay': 0, 'ReloadSingle': False, 'FalloffStartRange': 19.99, 'FalloffEndRange': 57.51, 'FalloffStartScale': 1.0, 'FalloffEndScale': 0.1, 'FalloffBias': 0.5, 'BulletGravityScale': 0.8, 'BulletsPerShot': 1, 'BulletsPerBurst': 4, 'BurstInterShotInterval': 0.1, 'ShootMoveSpeed': 0.75, 'HitOnceAcrossAllBullets': False, 'CanCrit': True, 'AmmoConsumedPerShot': 1, 'DPS': 28.0, 'SustainedDPS': 18.968, 'NameKey': 'citadel_weapon_hero_cadence_set', 'DescKey': 'citadel_weapon_hero_cadence_set_desc'}",1,,,,
hero_chrono,0,0,8.0,0.43,18.6,1.0,0,"{'1': {'Name': 'Pulse Grenade', 'Key': 'citadel_ability_chrono_pulse_grenade'}, '2': {'Name': 'Time Wall', 'Key': 'citadel_ability_chrono_time_wall'}, '3': {'Name': 'Kinetic Carbine', 'Key': 'citadel_ability_chrono_kinetic_carbine'}, '4': {'Name': 'Paradoxical Swap', 'Key': 'citadel_ability_chrono_swap'}}",0.0,0.0,4.75,10.0,0.62,16.1,116.0,1.0,1.0,False,False,False,False,True,"{'BulletDamage': 0.242, 'MaxHealth': 45, 'PowerIncreases': 1, 'TechPower': 1.1, 'LightMeleeDamage': 1.58, 'HeavyMeleeDamage': 3.6656, 'DPS': 1.8292000000000002, 'SustainedDPS': 1.2289}",50.0,hero_chrono_lore,700.0,6.7,4,Paradox,hero_chrono_playstyle,1,0,hero_chrono_role,{},1.6,3.0,4.5000045000045,0.222222,0,0,Marksman,"{'BulletSpeed': 525.0, 'BulletDamage': 6.42, 'RoundsPerSecond': 7.5586, 'ClipSize': 40, 'ReloadTime': 2.585, 'ReloadMovespeed': 1.0, 'ReloadDelay': 0, 'ReloadSingle': False, 'FalloffStartRange': 19.99, 'FalloffEndRange': 57.51, 'FalloffStartScale': 1.0, 'FalloffEndScale': 0.1, 'FalloffBias': 0.5, 'BulletGravityScale': 0.1, 'BulletsPerShot': 1, 'BulletsPerBurst': 5, 'BurstInterShotInterval': 0.07350000000000001, 'ShootMoveSpeed': 0.75, 'HitOnceAcrossAllBullets': False, 'CanCrit': True, 'AmmoConsumedPerShot': 1, 'DPS': 48.526, 'SustainedDPS': 32.601, 'NameKey': 'citadel_weapon_hero_chrono_set', 'DescKey': 'citadel_weapon_hero_chrono_set_desc', 'WeaponTypes': ['Attribute_EWeaponAttribute_BurstFire', 'Attribute_EWeaponAttribute_MediumRange']}",1,,,,
hero_doorman,0,0,8.0,0.43,18.6,1.0,0,"{'1': {'Name': 'Call Bell', 'Key': 'ability_doorman_bomb'}, '2': {'Name': 'Doorway', 'Key': 'ability_doorman_doorway'}, '3': {'Name': 'Luggage Cart', 'Key': 'ability_doorman_luggage_cart'}, '4': {'Name': 'Hotel Guest', 'Key': 'ability_doorman_hotel'}}",-25.0,0.0,4.75,10.0,0.62,16.1,116.0,1.0,1.0,False,False,False,False,True,"{'BulletDamage': 1.1, 'MaxHealth': 42, 'PowerIncreases': 1, 'TechPower': 1.1, 'LightMeleeDamage': 1.58, 'HeavyMeleeDamage': 3.6656, 'DPS': 1.6177000000000001, 'SustainedDPS': 1.1225}",50.0,hero_doorman_lore,725.0,7.9,4,The Doorman,hero_doorman_playstyle,1,0,hero_doorman_role,{},1.6,3.0,4.5000045000045,0.222222,0,0,Mystic,"{'BulletSpeed': 203.2, 'BulletDamage': 29.26, 'RoundsPerSecond': 1.4706000000000001, 'ClipSize': 8, 'ReloadTime': 2.4, 'ReloadMovespeed': 1.0, 'ReloadDelay': 0, 'ReloadSingle': False, 'FalloffStartRange': 19.99, 'FalloffEndRange': 57.51, 'FalloffStartScale': 1.0, 'FalloffEndScale': 0.1, 'FalloffBias': 0.5, 'BulletGravityScale': 0.0, 'BulletsPerShot': 1, 'BulletsPerBurst': 1, 'BurstInterShotInterval': 0.05, 'ShootMoveSpeed': 0.75, 'HitOnceAcrossAllBullets': False, 'CanCrit': True, 'AmmoConsumedPerShot': 1, 'DPS': 43.03, 'SustainedDPS': 29.857, 'NameKey': 'citadel_weapon_hero_doorman_set', 'DescKey': 'citadel_weapon_hero_doorman_set_desc', 'WeaponTypes': ['Attribute_EWeaponAttribute_HeavyHitter', 'Attribute_EWeaponAttribute_MediumRange']}",1,,,,
